Date Home Team                    Home Score Away Team                    Away Score A1                         A2                         A3                         A4                         A5                         A6                         A7                         A8                         A9                         HP                         H1                         H2                         H3                         H4                         H5                         H6                         H7                         H8                         H9                         AP                         
1010 houston astros               6          tampa bay rays               1          austin meadows             tommy pham                 ji-man choi                travis d'arnaud            eric sogard                avisail garcia             joey wendle                kevin kiermaier            willy adames               gerrit cole                george springer            michael brantley           jose altuve                alex bregman               yordan alvarez             yuli gurriel               carlos correa              josh reddick               martin maldonado           tyler glasnow              
1011 st. louis cardinals          0          washington nationals         2          trea turner                adam eaton                 anthony rendon             juan soto                  howie kendrick             ryan zimmerman             michael taylor             yan gomes                  anibal sanchez             miles mikolas              dexter fowler              kolten wong                paul goldschmidt           marcell ozuna              yadier molina              matt carpenter             tommy edman                paul dejong                miles mikolas              anibal sanchez             
1012 houston astros               0          new york yankees             7          dj lemahieu                aaron judge                gleyber torres             edwin encarnacion          giancarlo stanton          brett gardner              gary sanchez               gio urshela                didi gregorius             zack greinke               george springer            michael brantley           jose altuve                alex bregman               yordan alvarez             yuli gurriel               carlos correa              kyle tucker                robinson chirinos          masahiro tanaka            
1012 st. louis cardinals          1          washington nationals         3          trea turner                adam eaton                 anthony rendon             juan soto                  howie kendrick             ryan zimmerman             kurt suzuki                michael taylor             max scherzer               adam wainwright            dexter fowler              kolten wong                paul goldschmidt           marcell ozuna              yadier molina              matt carpenter             tommy edman                paul dejong                adam wainwright            max scherzer               
1013 houston astros               3          new york yankees             2          dj lemahieu                aaron judge                gleyber torres             edwin encarnacion          brett gardner              gary sanchez               gio urshela                cameron maybin             didi gregorius             justin verlander           george springer            michael brantley           jose altuve                alex bregman               yordan alvarez             yuli gurriel               carlos correa              robinson chirinos          jake marisnick             james paxton               
1014 washington nationals         8          st. louis cardinals          1          dexter fowler              kolten wong                paul goldschmidt           marcell ozuna              jose martinez              yadier molina              tommy edman                paul dejong                jack flaherty              stephen strasburg          trea turner                adam eaton                 anthony rendon             juan soto                  howie kendrick             ryan zimmerman             kurt suzuki                victor robles              stephen strasburg          jack flaherty              
1015 new york yankees             1          houston astros               4          george springer            jose altuve                michael brantley           alex bregman               yuli gurriel               yordan alvarez             carlos correa              josh reddick               martin maldonado           luis severino              dj lemahieu                aaron judge                brett gardner              edwin encarnacion          gleyber torres             didi gregorius             gary sanchez               gio urshela                aaron hicks                gerrit cole                
1015 washington nationals         7          st. louis cardinals          4          tommy edman                jose martinez              paul goldschmidt           marcell ozuna              yadier molina              paul dejong                harrison bader             kolten wong                dakota hudson              patrick corbin             trea turner                adam eaton                 anthony rendon             juan soto                  howie kendrick             ryan zimmerman             victor robles              yan gomes                  patrick corbin             dakota hudson              
1017 new york yankees             3          houston astros               8          george springer            jose altuve                michael brantley           alex bregman               yuli gurriel               yordan alvarez             carlos correa              robinson chirinos          josh reddick               masahiro tanaka            dj lemahieu                aaron judge                aaron hicks                gleyber torres             edwin encarnacion          brett gardner              gary sanchez               gio urshela                didi gregorius             zack greinke               
1018 new york yankees             4          houston astros               1          george springer            jose altuve                michael brantley           alex bregman               yuli gurriel               carlos correa              yordan alvarez             robinson chirinos          jake marisnick             james paxton               dj lemahieu                aaron judge                gleyber torres             giancarlo stanton          aaron hicks                gary sanchez               didi gregorius             gio urshela                brett gardner              justin verlander           
1019 houston astros               6          new york yankees             4          dj lemahieu                aaron judge                gleyber torres             aaron hicks                edwin encarnacion          didi gregorius             gary sanchez               gio urshela                brett gardner              brad peacock               george springer            jose altuve                michael brantley           alex bregman               yuli gurriel               carlos correa              yordan alvarez             martin maldonado           josh reddick               chad green                 
1022 houston astros               4          washington nationals         5          trea turner                adam eaton                 anthony rendon             juan soto                  howie kendrick             asdrubal cabrera           ryan zimmerman             kurt suzuki                victor robles              gerrit cole                george springer            jose altuve                michael brantley           alex bregman               yuli gurriel               carlos correa              yordan alvarez             martin maldonado           josh reddick               max scherzer               
1023 houston astros               3          washington nationals         12         trea turner                adam eaton                 anthony rendon             juan soto                  howie kendrick             asdrubal cabrera           ryan zimmerman             kurt suzuki                victor robles              justin verlander           george springer            jose altuve                michael brantley           alex bregman               yuli gurriel               yordan alvarez             carlos correa              robinson chirinos          josh reddick               stephen strasburg          
1025 washington nationals         1          houston astros               4          george springer            jose altuve                michael brantley           alex bregman               yuli gurriel               carlos correa              josh reddick               robinson chirinos          zack greinke               anibal sanchez             trea turner                adam eaton                 anthony rendon             juan soto                  asdrubal cabrera           ryan zimmerman             kurt suzuki                victor robles              anibal sanchez             zack greinke               
1026 washington nationals         1          houston astros               8          george springer            jose altuve                michael brantley           alex bregman               yuli gurriel               carlos correa              robinson chirinos          jake marisnick             jose urquidy               patrick corbin             trea turner                adam eaton                 anthony rendon             juan soto                  howie kendrick             ryan zimmerman             victor robles              yan gomes                  patrick corbin             jose urquidy               
1027 washington nationals         1          houston astros               7          george springer            jose altuve                michael brantley           alex bregman               yuli gurriel               yordan alvarez             carlos correa              martin maldonado           gerrit cole                joe ross                   trea turner                adam eaton                 anthony rendon             juan soto                  howie kendrick             ryan zimmerman             victor robles              yan gomes                  joe ross                   gerrit cole                
1029 houston astros               2          washington nationals         7          trea turner                adam eaton                 anthony rendon             juan soto                  howie kendrick             asdrubal cabrera           ryan zimmerman             victor robles              yan gomes                  justin verlander           george springer            jose altuve                michael brantley           alex bregman               yuli gurriel               yordan alvarez             carlos correa              robinson chirinos          josh reddick               stephen strasburg          
1030 houston astros               2          washington nationals         6          trea turner                adam eaton                 anthony rendon             juan soto                  howie kendrick             asdrubal cabrera           ryan zimmerman             yan gomes                  victor robles              zack greinke               george springer            jose altuve                michael brantley           alex bregman               yuli gurriel               yordan alvarez             carlos correa              robinson chirinos          josh reddick               max scherzer               
